A Ashish Reddy,47,23.5,162.06896551724137,32,3,29
A Choudhary,25,25.0,125.0,15,3,20
A Dananjaya,4,4.0,80.0,4,1,5
A Mishra,54,18.0,79.41176470588235,13,9,68
A Nehra,1,0.25,100.0,1,4,1
A Zampa,5,2.5,62.5,5,2,8
AB de Villiers,1383,46.1,163.66863905325445,129,36,845
AB Dinda,7,7.0,100.0,7,1,7
Abhishek Sharma,63,63.0,190.9090909090909,46,3,33
AD Hales,148,24.666666666666668,125.42372881355932,45,6,118
AD Mathews,32,16.0,118.5185185185185,31,2,27
AD Nath,29,5.8,70.73170731707317,12,5,41
AD Russell,504,28.0,176.8421052631579,88,22,285
AF Milne,7,3.5,58.333333333333336,5,3,12
AJ Finch,826,27.533333333333335,142.65975820379967,74,34,579
AJ Tye,85,10.625,125.0,25,11,68
AM Rahane,1232,31.58974358974359,121.37931034482759,74,44,1015
Ankit Sharma,28,28.0,155.55555555555557,25,2,18
Ankit Soni,7,3.5,77.77777777777779,7,3,9
Anureet Singh,18,18.0,112.5,15,2,16
AP Tare,26,5.2,68.42105263157895,18,5,38
AR Bawne,12,12.0,100.0,12,1,12
AR Patel,418,19.904761904761905,135.71428571428572,44,31,308
AS Rajpoot,15,3.75,60.0,8,4,25
AT Rayudu,1027,34.233333333333334,135.48812664907652,100,33,758
Avesh Khan,0,0,0,0,0,0
B Kumar,60,6.666666666666667,127.65957446808511,21,14,47
B Laughlin,1,1.0,25.0,1,2,4
B Stanlake,5,5.0,250.0,5,1,2
BA Stokes,512,23.272727272727273,134.03141361256544,103,24,382
Basil Thampi,31,31.0,91.17647058823529,13,7,34
BB McCullum,800,24.242424242424242,141.09347442680775,72,33,567
BB Sran,7,7.0,63.63636363636363,2,8,11
BCJ Cutting,212,26.5,179.66101694915255,39,13,118
Bipul Sharma,82,27.333333333333332,167.3469387755102,27,7,49
C de Grandhomme,257,19.76923076923077,146.02272727272728,40,17,176
C Munro,93,11.625,130.98591549295776,33,8,71
CA Lynn,811,36.86363636363637,144.30604982206404,93,25,562
CH Gayle,795,28.392857142857142,140.7079646017699,104,30,565
CH Morris,395,43.888888888888886,172.4890829694323,82,20,229
CJ Anderson,159,15.9,109.6551724137931,41,14,145
CJ Dala,0,0,0,0,0,0
CJ Jordan,3,1.5,60.0,3,2,5
CR Brathwaite,170,15.454545454545455,168.31683168316832,43,12,101
CR Woakes,63,10.5,95.45454545454545,18,11,66
D Wiese,5,5.0,125.0,5,1,4
DA Miller,318,21.2,115.63636363636363,31,20,275
DA Warner,1489,59.56,147.13438735177866,126,31,1012
DJ Bravo,240,20.0,138.72832369942196,68,23,173
DJ Hooda,309,14.714285714285714,121.65354330708662,34,29,254
DJ Willey,0,0,0,0,0,0
DJM Short,115,16.428571428571427,116.16161616161615,44,7,99
DL Chahar,64,16.0,182.85714285714286,39,5,35
DM Bravo,6,6.0,120.0,6,1,5
DR Shorey,8,8.0,88.88888888888889,8,1,9
DR Smith,563,25.59090909090909,149.3368700265252,74,24,377
DS Kulkarni,34,8.5,136.0,10,8,25
DT Christian,105,15.0,128.0487804878049,17,12,82
DW Steyn,1,1.0,50.0,1,1,2
E Lewis,382,29.384615384615383,138.40579710144928,65,13,276
EJG Morgan,188,20.88888888888889,112.57485029940119,51,10,167
ER Dwivedi,24,12.0,171.42857142857142,19,2,14
F Behardien,14,7.0,107.6923076923077,9,3,13
F du Plessis,376,31.333333333333332,126.1744966442953,69,13,298
G Gambhir,1084,36.13333333333333,122.07207207207207,90,36,888
GB Hogg,0,0.0,0,0,1,0
GJ Bailey,84,21.0,85.71428571428571,34,5,98
GJ Maxwell,658,21.225806451612904,155.55555555555557,68,36,423
Gurkeerat Singh,113,22.6,131.3953488372093,51,6,86
H Klaasen,57,19.0,121.27659574468086,32,4,47
Harbhajan Singh,137,17.125,100.73529411764706,45,17,136
HH Pandya,554,24.08695652173913,132.5358851674641,50,38,418
HM Amla,577,44.38461538461539,141.76904176904176,104,16,407
HV Patel,60,60.0,181.8181818181818,36,3,33
I Sharma,8,4.0,66.66666666666666,5,4,12
IK Pathan,13,3.25,81.25,7,4,16
Imran Tahir,7,7.0,63.63636363636363,5,3,11
Iqbal Abdulla,42,14.0,123.52941176470588,33,3,34
IR Jaggi,33,33.0,84.61538461538461,28,2,39
IS Sodhi,1,1.0,16.666666666666664,1,1,6
Ishan Kishan,594,22.0,137.81902552204178,62,27,431
J Suchith,0,0,0,0,0,0
J Yadav,6,3.0,60.0,5,2,10
JA Morkel,16,16.0,177.77777777777777,16,1,9
JC Archer,15,3.0,71.42857142857143,8,8,21
JC Buttler,1075,34.67741935483871,150.56022408963585,95,37,714
JD Unadkat,51,12.75,118.6046511627907,26,9,43
JJ Bumrah,34,11.333333333333334,100.0,16,7,34
JJ Roy,179,29.833333333333332,133.5820895522388,91,8,134
JO Holder,22,5.5,115.78947368421053,13,4,19
JP Duminy,227,37.833333333333336,115.81632653061224,49,12,196
